gbifID	datasetKey	occurrenceID	kingdom	phylum	class	order	family	genus	species	infraspecificEpithet	taxonRank	scientificName	verbatimScientificName	verbatimScientificNameAuthorship	countryCode	locality	stateProvince	occurrenceStatus	individualCount	publishingOrgKey	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	elevation	elevationAccuracy	depth	depthAccuracy	eventDate	day	month	year	taxonKey	speciesKey	basisOfRecord	institutionCode	collectionCode	catalogNumber	recordNumber	identifiedBy	dateIdentified	license	rightsHolder	recordedBy	typeStatus	establishmentMeans	lastInterpreted	mediaType	issue
2249086234	040c5662-da76-4782-a48e-cdea1892d14c	http://bins.boldsystems.org/index.php/Public_RecordView?processid=DISA735-19	Animalia	Arthropoda	Branchiopoda	Anostraca	Branchinectidae	Branchinecta	Branchinecta lynchi		SPECIES	Branchinecta lynchi Eng, Belk & Eriksen, 1990	Branchinecta lynchi		US	USA, California, Merced County, Merced University				b3bf3a83-1f68-4541-a03f-330d30d567f5	37.37	-120.42							1999-02-26T00:00:00Z	26	2	1999	2235372	2235372	UNKNOWN			LACM:DISCO:5819		DISCO MBC LACM		CC_BY_4_0	Barcode of Life Datasystems	US Fish and Wildlife Service (MG)			2019-09-20T16:14:30.569Z		GEODETIC_DATUM_ASSUMED_WGS84
2242880368	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/24707949	Animalia	Chordata	Aves	Passeriformes	Icteridae	Quiscalus	Quiscalus mexicanus		SPECIES	Quiscalus mexicanus (Gmelin, 1788)	Quiscalus mexicanus		US		California			28eb1a3f-1c15-4a95-931a-4af90ecb574d	37.363941	-120.425705	38.0						2019-05-06T19:25:31Z	6	5	2019	9476062	9476062	HUMAN_OBSERVATION	iNaturalist	Observations	24707949			2019-05-07T02:28:27Z	CC_BY_NC_4_0	westernpsychopomp42	westernpsychopomp42			2019-09-21T00:34:29.323Z	STILLIMAGE	GEODETIC_DATUM_ASSUMED_WGS84;COORDINATE_ROUNDED
2236828457	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/19851332	Animalia	Chordata	Aves	Anseriformes	Anatidae	Branta	Branta canadensis		SPECIES	Branta canadensis (Linnaeus, 1758)	Branta canadensis		US		California			28eb1a3f-1c15-4a95-931a-4af90ecb574d	37.376766	-120.415261	5.0						2019-01-24T15:58:30Z	24	1	2019	5232437	5232437	HUMAN_OBSERVATION	iNaturalist	Observations	19851332			2019-01-24T23:58:49Z	CC_BY_NC_4_0	Brook	Brook			2019-09-20T16:17:13.887Z	STILLIMAGE	GEODETIC_DATUM_ASSUMED_WGS84;COORDINATE_ROUNDED
2236220324	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/22054431	Animalia	Arthropoda	Branchiopoda	Diplostraca	Cyzicidae	Cyzicus	Cyzicus californicus		SPECIES	Cyzicus californicus (Packard, 1883)	Cyzicus californicus		US		California			28eb1a3f-1c15-4a95-931a-4af90ecb574d	37.38427	-120.41752	11.0						2019-04-05T11:27:46Z	5	4	2019	2234631	2234631	HUMAN_OBSERVATION	iNaturalist	Observations	22054431			2019-04-05T21:20:46Z	CC_BY_NC_4_0	cayleyharper	cayleyharper			2019-09-20T19:22:53.263Z	STILLIMAGE	GEODETIC_DATUM_ASSUMED_WGS84
2236219311	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/22054186	Animalia	Chordata	Amphibia	Anura	Hylidae	Pseudacris	Pseudacris sierra		SPECIES	Pseudacris sierra (Jameson, Mackey & Richmond, 1966)	Pseudacris sierra		US		California			28eb1a3f-1c15-4a95-931a-4af90ecb574d	37.384328	-120.417433	5554.0						2019-04-05T11:16:11Z	5	4	2019	2428151	2428151	HUMAN_OBSERVATION	iNaturalist	Observations	22054186			2019-04-05T21:19:35Z	CC_BY_NC_4_0	cayleyharper	cayleyharper			2019-09-20T22:38:56.035Z	STILLIMAGE	GEODETIC_DATUM_ASSUMED_WGS84;COORDINATE_ROUNDED
2235559861	50c9509d-22c7-4a22-a47d-8c48425ef4a7	http://www.inaturalist.org/observations/2937612	Animalia	Arthropoda	Insecta	Diptera	Scathophagidae	Scathophaga	Scathophaga stercoraria		SPECIES	Scathophaga stercoraria (Linnaeus, 1758)	Scathophaga stercoraria		US		California			28eb1a3f-1c15-4a95-931a-4af90ecb574d	37.367274	-120.423506	10.0						2016-04-14T19:39:09Z	14	4	2016	1556243	1556243	HUMAN_OBSERVATION	iNaturalist	Observations	2937612				CC_BY_NC_4_0	stefwedde	stefwedde			2019-09-20T23:03:41.164Z		GEODETIC_DATUM_ASSUMED_WGS84;COORDINATE_ROUNDED
2234786854	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/21619873	Animalia	Arthropoda	Insecta	Odonata	Coenagrionidae	Ischnura	Ischnura cervula		SPECIES	Ischnura cervula Selys, 1876	Ischnura cervula		US		California			28eb1a3f-1c15-4a95-931a-4af90ecb574d	37.367313	-120.418092	5.0						2019-03-25T16:39:04Z	25	3	2019	1423285	1423285	HUMAN_OBSERVATION	iNaturalist	Observations	21619873			2019-03-26T03:16:22Z	CC_BY_NC_4_0	samarda	samarda			2019-09-20T20:17:04.365Z	STILLIMAGE	GEODETIC_DATUM_ASSUMED_WGS84;COORDINATE_ROUNDED
2233230169	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	URN:catalog:CLO:EBIRD:OBS691843256	Animalia	Chordata	Aves	Passeriformes	Emberizidae	Passerculus	Passerculus sandwichensis		SPECIES	Passerculus sandwichensis (J.F.Gmelin, 1789)	Passerculus sandwichensis		US	Lake road, Merced	California		3	e2e717bf-551a-4917-bdc9-4fa0f342c530	37.357872	-120.431779							2018-12-31T00:00:00Z	31	12	2018	5231142	5231142	HUMAN_OBSERVATION	CLO	EBIRD	OBS691843256				CC0_1_0		obsr1147350			2019-09-20T23:25:34.493Z		COORDINATE_ROUNDED
2229364144	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	URN:catalog:CLO:EBIRD:OBS691843254	Animalia	Chordata	Aves	Passeriformes	Icteridae	Molothrus	Molothrus ater		SPECIES	Molothrus ater (Boddaert, 1783)	Molothrus ater		US	Lake road, Merced	California		15	e2e717bf-551a-4917-bdc9-4fa0f342c530	37.357872	-120.431779							2018-12-31T00:00:00Z	31	12	2018	2484391	2484391	HUMAN_OBSERVATION	CLO	EBIRD	OBS691843254				CC0_1_0		obsr1147350			2019-09-21T01:00:13.599Z		COORDINATE_ROUNDED
2229357511	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	URN:catalog:CLO:EBIRD:OBS691843258	Animalia	Chordata	Aves	Passeriformes	Icteridae	Euphagus	Euphagus cyanocephalus		SPECIES	Euphagus cyanocephalus (Wagler, 1829)	Euphagus cyanocephalus		US	Lake road, Merced	California		25	e2e717bf-551a-4917-bdc9-4fa0f342c530	37.357872	-120.431779							2018-12-31T00:00:00Z	31	12	2018	2484183	2484183	HUMAN_OBSERVATION	CLO	EBIRD	OBS691843258				CC0_1_0		obsr1147350			2019-09-20T18:57:07.795Z		COORDINATE_ROUNDED
